bucket,path,clicks,impressions,ctr,position
"School Profiles (/schools/*)","/schools/dapper-g-barber-college-san-antonio-e9c997f8",1,45,2.22,12.0
"School Profiles (/schools/*)","/schools/m-y-barber-school-cleveland-7830a674",1,45,2.22,4.7
"School Profiles (/schools/*)","/schools/the-men-barber-school-rr-round-rock-b24ad201",1,45,2.22,6.6
"School Profiles (/schools/*)","/schools/bronx-barber-college-el-paso-2c959063",0,45,0.00,8.3
"School Profiles (/schools/*)","/schools/dallas-career-academy-llc-dallas-af969de6",0,45,0.00,9.5
"School Profiles (/schools/*)","/schools/jays-technical-institute-inc-port-arthur-67a15fd6",0,45,0.00,9.4
"School Profiles (/schools/*)","/schools/kalon-beauty-institute-dallas-4bb94a29",0,45,0.00,4.1
"School Profiles (/schools/*)","/schools/878-barber-school-san-antonio-03406646",1,44,2.27,8.3
"School Profiles (/schools/*)","/schools/dallas-skin-institute-inc-amarillo-f34b7d99",0,44,0.00,14.5
"School Profiles (/schools/*)","/schools/hill-college-johnson-county-campus-cleburne-b16e0eb7",0,44,0.00,8.4
"School Profiles (/schools/*)","/schools/houston-school-of-esthetics-and-massage-katy-5644b704",0,44,0.00,10.2
"School Profiles (/schools/*)","/schools/latin-america-beauty-school-bellaire-74f734b2",0,44,0.00,7.9
"School Profiles (/schools/*)","/schools/lone-star-college-kingwood-kingwood-2d6835d4",0,44,0.00,8.9
"School Profiles (/schools/*)","/schools/maverick-barber-school-san-antonio-fe913026",0,44,0.00,8.3
"School Profiles (/schools/*)","/schools/san-jacinto-college-north-campus-houston-c61a8ee1",0,44,0.00,10.0
"School Profiles (/schools/*)","/schools/fade-em-all-barber-college-san-antonio-439bd3a1",0,43,0.00,7.2
"School Profiles (/schools/*)","/schools/hands-on-approach-school-of-massage-and-spa-corpus-christi-e4a6a074",0,43,0.00,9.7
"School Profiles (/schools/*)","/schools/mireya-s-beauty-institution-harlingen-3ee9a65c",0,43,0.00,5.8
"School Profiles (/schools/*)","/schools/ogle-school-beauty-and-cosmetology-fort-worth-fort-worth-da2f807a",0,43,0.00,9.1
"School Profiles (/schools/*)","/schools/riverside-barber-beauty-institute-fort-worth-fd58d81c",0,43,0.00,8.3
"School Profiles (/schools/*)","/schools/aveda-arts-sciences-institute-dallas-dallas-e6be9d41",1,42,2.38,10.6
"School Profiles (/schools/*)","/schools/dallas-blends-barber-academy-duncanville-dallas-1d31c230",1,42,2.38,8.4
"School Profiles (/schools/*)","/schools/deleon-barber-and-beauty-academy-llc-bastrop-6dd4a426",1,42,2.38,7.7
"School Profiles (/schools/*)","/schools/bellezza-cantu-skincare-institute-grand-prairie-3dac7832",0,42,0.00,8.9
"School Profiles (/schools/*)","/schools/dallas-beauty-and-barber-academy-dallas-36885788",0,42,0.00,12.0
"School Profiles (/schools/*)","/schools/flavous-beauty-academy-llc-mckinney-9c026126",0,42,0.00,9.1
"School Profiles (/schools/*)","/schools/km-beauty-and-barber-institute-garland-6f18e1a0",0,42,0.00,11.0
"School Profiles (/schools/*)","/schools/milan-institute-of-cosmetology-san-antonio-south-san-antonio-7077379a",0,42,0.00,10.8
"School Profiles (/schools/*)","/schools/montana-barber-institute-el-paso-1b893688",0,42,0.00,7.4
"School Profiles (/schools/*)","/schools/ogle-school-beauty-and-cosmetology-central-dallas-dallas-fdf9a9b4",0,42,0.00,10.0
"School Profiles (/schools/*)","/schools/north-central-texas-college-gainesville-4043c09d",2,41,4.88,7.6
"School Profiles (/schools/*)","/schools/360-barber-college-sulphur-springs-0dce1349",1,41,2.44,4.2
"School Profiles (/schools/*)","/schools/the-salon-professional-academy-lewisville-e10a39ea",1,41,2.44,10.1
"School Profiles (/schools/*)","/schools/elegance-barber-styling-academy-dallas-03148639",0,41,0.00,8.7
"School Profiles (/schools/*)","/schools/face-it-beauty-school-llc-pearland-1bbeb2eb",0,41,0.00,7.1
"School Profiles (/schools/*)","/schools/invictus-career-college-dallas-4f9f1c34",0,41,0.00,7.7
"School Profiles (/schools/*)","/schools/mannequin-beauty-school-llc-spring-fcafe134",0,41,0.00,9.7
