bucket,name,city,target_table,licenses
"seed","SALON PROFESSIONAL ACADEMY SAN JOSE","SAN JOSE","agent_cosmetology_school_leads","cosmetology:8/11; esthetics:7/9"
"seed","SALON SUCCESS ACADEMY","CORONA","agent_cosmetology_school_leads","cosmetology:10/10; esthetics:17/20"
"seed","SALON SUCCESS ACADEMY","FONTANA","agent_cosmetology_school_leads","cosmetology:5/6"
"seed","SALON SUCCESS ACADEMY","REDLANDS","agent_cosmetology_school_leads","cosmetology:14/15; esthetics:14/15; manicuring:1/1"
"seed","SALON SUCCESS ACADEMY","WEST COVINA","agent_cosmetology_school_leads","cosmetology:2/3; esthetics:3/4; manicuring:1/1"
"seed","SAN JOSE CITY COLLEGE","SAN JOSE","agent_cosmetology_school_leads","cosmetology:13/14; esthetics:14/17"
"seed","SANTA BARBARA CITY COLLEGE COSMETOLOGY A","SANTA BARBARA","agent_cosmetology_school_leads","cosmetology:16/22; esthetics:12/13"
"seed","SANTA CLARA BEAUTY COLLEGE","SANTA CLARA","agent_cosmetology_school_leads","cosmetology:3/4; esthetics:1/1; manicuring:1/1"
"seed","SAVVY BEAUTY ACADEMY","INGLEWOOD","agent_cosmetology_school_leads","cosmetology:1/3; esthetics:10/12; manicuring:3/4"
"seed","SKYLINE COMMUNITY COLLEGE, COSMOTOLOGY D","SAN BRUNO","agent_cosmetology_school_leads","cosmetology:10/12; esthetics:6/7"
"seed","SOLANO COMMUNITY COLLEGE, COSMETOLOGY DE","FAIRFIELD","agent_cosmetology_school_leads","cosmetology:1/1; manicuring:5/5"
"seed","SONORA UNION HIGH SCHOOL, ROP COSMETOLOG","SONORA","agent_cosmetology_school_leads","cosmetology:4/9"
"seed","SOUTHERN CALIFORNIA REGIONAL OCCUPATIONA","TORRANCE","agent_cosmetology_school_leads","cosmetology:6/6"
"seed","SUTTER COUNTY CAREER TRAINING CENTER","YUBA CITY","agent_cosmetology_school_leads","cosmetology:3/4"
"seed","TEMPLE CITY BEAUTY COLLEGE","TEMPLE CITY","agent_cosmetology_school_leads","cosmetology:4/7; esthetics:3/4"
"seed","THANH LE COLLEGE, SCHOOL OF COSMETOLOGY","GARDEN GROVE","agent_cosmetology_school_leads","cosmetology:1/2; esthetics:1/1; manicuring:5/8"
