page,clicks,impressions,ctr_pct,position
"https://agency.innergcomplete.com/stores/supreme-beauty-houston-77048-267087d3",2,61,3.28,16.1
"https://agency.innergcomplete.com/stores/supreme-hair-and-beauty-arlington-dallas-972a1245",2,1490,0.13,9.2
"https://agency.innergcomplete.com/stores/supreme-hair-and-beauty-dallas-8a6607ca",2,1277,0.16,7.9
"https://agency.innergcomplete.com/stores/the-beauty-supply-plus-houston-77044-a84dfeaa",2,111,1.80,8.4
"https://agency.innergcomplete.com/stores/uptown-beauty-and-beyond-houston-77075-7c5d336f",2,191,1.05,12.2
"https://agency.innergcomplete.com/stores/uptown-beauty-supply-6-houston-77082-b4795558",2,97,2.06,12.6
"https://agency.innergcomplete.com/stores/zaza-beaut-houston-77083-020865a8",2,24,8.33,6.5
"https://agency.innergcomplete.com/texas-barbershop-placement-matcher",2,77,2.60,6.5
"https://agency.innergcomplete.com/texas/houston/insights/market-analysis/king-s-cut-",2,38,5.26,3.4
"https://agency.innergcomplete.com/about",1,126,0.79,4.9
"https://agency.innergcomplete.com/amarillo",1,106,0.94,13.0
"https://agency.innergcomplete.com/barber-booth-rent-houston",1,123,0.81,12.4
"https://agency.innergcomplete.com/barbers/-tx-232a3b25",1,11,9.09,14.5
"https://agency.innergcomplete.com/barbers/48-blendz-tx-8b02ce83",1,3,33.33,4.3
"https://agency.innergcomplete.com/barbers/abel-vasquez-tx-e1d23870",1,7,14.29,5.9
"https://agency.innergcomplete.com/barbers/adrian-cuts-tx-3ed5269e",1,16,6.25,6.1
"https://agency.innergcomplete.com/barbers/alejandra-barber-tx-85a71f6f",1,21,4.76,5.3
"https://agency.innergcomplete.com/barbers/alex-the-barber-el-patio-barbershop-tx-a09da285",1,57,1.75,8.5
"https://agency.innergcomplete.com/barbers/anthocuts-tx-b22b43f0",1,5,20.00,4.8
"https://agency.innergcomplete.com/barbers/aries-whitehurst-hairitage-studios-tx-c8ac383e",1,9,11.11,7.3
"https://agency.innergcomplete.com/barbers/audi-kutz-tx-d7e9f3fe",1,8,12.50,6.1
"https://agency.innergcomplete.com/barbers/barber-boss-barbershop-tx-e6b9679b",1,7,14.29,9.4
"https://agency.innergcomplete.com/barbers/barber-eman-tx-8fe5f2df",1,9,11.11,4.2
"https://agency.innergcomplete.com/barbers/big-meech-fadez-tx-b88b31b6",1,6,16.67,3.3
"https://agency.innergcomplete.com/barbers/bj-tha-master-barber-tx-07dfdf33",1,7,14.29,5.0
"https://agency.innergcomplete.com/barbers/bnbs-barber-and-beauty-salon-houston-77084-4f88e390",1,12,8.33,10.2
"https://agency.innergcomplete.com/barbers/bonafide-barber-shave-parlor-tx-27b55c65",1,18,5.56,8.9
"https://agency.innergcomplete.com/barbers/bralynn-the-barber-tx-dcacd227",1,4,25.00,4.5
"https://agency.innergcomplete.com/barbers/brush-blade-llc-tx-364c2671",1,10,10.00,10.9
"https://agency.innergcomplete.com/barbers/c-h-i-c-o-tx-7cf9cbe8",1,18,5.56,8.2
"https://agency.innergcomplete.com/barbers/carlosbarber-dtx-garland-75042-004b9439",1,10,10.00,5.6
"https://agency.innergcomplete.com/barbers/carpi-barber-houston-77055-b762ebad",1,4,25.00,3.3
"https://agency.innergcomplete.com/barbers/chanceinthecutt-tx-e2d0eb0e",1,7,14.29,11.9
"https://agency.innergcomplete.com/barbers/choppa-da-don-barber-houston-5d96c615",1,23,4.35,9.2
